text,tokens,source,categories,primary_category,x,y,sentiment,sentiment_code
"dann noch Neger aus Nubien, die zum Theil mit ihren sie bis Kosseir begleitenden Frauen da waren, welche letztere beinahe ganz nackt gingen, nur um den Leib ein Gehänge von dünngeschnittenen Riemchen trugen und deren Haare, mit ranziger Butter dick beschmiert, in tausend fettigen Löckchen auf den Nacken fielen.","['neger', 'theil', 'begleitend', 'frau', 'letzt', 'nackt', 'gehen', 'leib', 'gehänge', 'dünngeschnitten', 'riemchen', 'tragen', 'haar', 'ranzig', 'butter', 'dick', 'beschmieren', 'fettig', 'löckchen', 'nacken', 'fallen']",travel,"['gender', 'ethnic_cultural', 'appearance']",gender,-3.2124603,-2.5298371,neutral,NEU
"Der Hadsch war ein altes Männchen mit negerartigen Zügen, einem dicken Bauch, ein paar triefende'n Augen und einem blödsinnigen Gesichtsausdruck. Ausserdem war er mit der Krätze behaftet, was mich auf der ganzen Fahrt aus seiner Nähe verscheuchte. ","['alt', 'männchen', 'negerartig', 'zug', 'dick', 'bauch', 'paar', ""triefende'n"", 'auge', 'blödsinnig', 'gesichtsausdruck', 'krätze', 'behaftet', 'ganz', 'fahrt', 'nähe', 'verscheuchen']",travel,['appearance'],appearance,-3.8765106,-2.5741837,negative,NEG
"Diese ersten Bewohner Arabiens, welche ich hier zu sehen bekam, waren zerlumpte, halbnackte Menschen, von höchst kläglichem Aussehen, und entsprachen folglich durchaus nicht dem Begriffe, welchen sich die alten Periegeten von Arabern gemacht zu haben scheinen ","['erst', 'bewohner', 'sehen', 'bekommen', 'zerlumpt', 'halbnackt', 'mensch', 'kläglich', 'aussehen', 'entsprechen', 'begriff', 'alt', 'periegeten', 'araber', 'machen', 'scheinen']",travel,['ethnic_cultural'],ethnic_cultural,-3.138213,-0.8726803,neutral,NEU
"die Milaja, ein langes blau und weissgestreiftes Umschlagtuch aus Cattun , welches nur auf der Strasse getragn wird, wo dann die Frauen ganz in diese Milaja eingewickelt erscheinen und eben keinen schönen Anblick gewähren ; das einzige, was von ihrer Tracht dann ausser der Milaja sichtbar bleibt, ist der Gesichtslappen, Barka oder Oedschar genannt, welcher von dickem, weissen Baumwollstoff ist und nichts von den Zügen der Schönen gewahren lässt","['lang', 'blau', 'weißgestreift', 'umschlagtuch', 'straße', 'getragen', 'frau', 'ganz', 'einwickeln', 'erscheinen', 'schön', 'anblick', 'gewähren', 'einzig', 'tracht', 'sichtbar', 'bleiben', 'gesichtslappen', 'nennen', 'dick', 'weiß', 'baumwollstoff', 'zug', 'schönen', 'wahren', 'lassen']",travel,"['gender', 'appearance']",gender,-3.3943658,-2.483353,neutral,NEU
"So lächerlich diese Geschichte auch scheint, so wird sie doch von allen Arabern geglaubt, ja, wie gesagt, ein bekannter dänischer Gelehrter, der Arabien im vorigen Jahrhundert mit Niebuhr bereiste, verschmähte nicht ebenfalls daran zu glauben. ","['lächerlich', 'geschichte', 'scheinen', 'araber', 'glauben', 'sagen', 'bekannt', 'dänisch', 'gelehrter', 'vorig', 'jahrhundert', 'bereisen', 'verschmähen', 'glauben']",travel,['ethnic_cultural'],ethnic_cultural,-3.8611984,0.08766821,neutral,NEU
"Auf einmal wurde dem Kifraucher alles klar, und von diesem Augenblick an befolgte er buchstäblich meinen Plan und ich konnte sicher auf seine Verschwiegenheit rechnen, denn er selbst hätte ja bei seinen Landsleuten die gefährlichste Stellung gehabt, wenn es bekannt geworden wäre, dass er einem Europäer Mittel und Wege verschafft habe, um nach dem , für einen Nichtmuselmann so unzugänglichen Mekka zu gelangen; denn, was die Reise nach Mekka betrifft, so ist nicht nur die türkische Regierung, welche Todesstrafe für den Ungläubigen, der sich in die heilige Stadt schleichen würde, festgesetzt hat, fanatischste Wächterin; nein, jeder einzelne Muselmann, je nach dem Grade seines Fanatismus, hält es für seine Pflicht, das Haram (Heiligthum} so weit er Gelegenheit dazu hat, auf's strengste zu bewachen. Ja! ich bin überzeugt, die türkische Regierung zeigt sich nur desshalb so fanatisch, um ihre eigene Popularität bei frommen Moslems nicht zu verlieren. Die fanatischsten von allen Fanatikern sind ohne Zweifel die Hadschadsch (Plural von Hadsch, Pilger) und sie haben natürlich die beste Gelegenheit dazu, ihr freiwillig übernommenes Wächteramt auf der ganzen Hödsch (Pilgerfahrt) auszuüben, und jeden Christen gleich zu denunciren, der es wagen sollte, unter Verkleidung nach Mekka pilgern zu wollen.","['werden', 'kifraucher', 'klar', 'augenblick', 'befolgen', 'buchstäblich', 'plan', 'sicher', 'verschwiegenheit', 'rechnen', 'landsmann', 'gefährlich', 'stellung', 'haben', 'bekennen', 'europäer', 'mittel', 'weg', 'verschaffen', 'nichtmuselmann', 'unzugänglich', 'gelangen', 'reise', 'betreffen', 'türkisch', 'regierung', 'todesstrafe', 'ungläubige', 'heilig', 'stadt', 'schleichen', 'festsetzen', 'fanatisch', 'wächterin', 'einzeln', 'muselmann', 'grad', 'fanatismus', 'halten', 'pflicht', 'weit', 'gelegenheit', 'haben', 'streng', 'bewachen', 'überzeugt', 'türkisch', 'regierung', 'zeigen', 'fanatisch', 'eigen', 'popularität', 'fromm', 'moslem', 'verlieren', 'fanatisch', 'fanatiker', 'zweifel', 'plural', 'pilger', 'haben', 'natürlich', 'gut', 'gelegenheit', 'freiwillig', 'übernommenes', 'wächteramt', 'ganz', 'pilgerfahrt', 'ausüben', 'christ', 'wagen', 'verkleidung', 'pilgern']",travel,['religious'],religious,-4.5279636,-0.67593765,negative,NEG
"Wenn Omar, der Chalif, der die Bücher der grossen Bibliothek in Alexandrien zur Badeheizung verbrennen liess, weil dieselben neben dem Koran überflüssig waren, wenn dieser Fanatiker gesehen hätte , dass in seinem orthodoxen Aegypten ein solches Satanswerk, wie die Eisenbahn, sich breit machte, er würde ohne Zweifel wunderwirkende Flüche auf das Dämonengeschöpf geschleudert oder wenigstens jedem frommen Pilger verboten haben, von der schändlichen Erfindung der Inkliis (Engländer) Gebrauch zu machen. ","['buch', 'groß', 'bibliothek', 'badeheizung', 'verbrennen', 'lassen', 'koran', 'überflüssig', 'fanatiker', 'sehen', 'orthodox', 'satanswerk', 'eisenbahn', 'breit', 'machen', 'zweifel', 'wunderwirkend', 'fluch', 'dämonengeschöpf', 'schleudern', 'fromm', 'pilger', 'verbieten', 'schändlich', 'erfindung', 'engländer', 'gebrauch', 'machen']",travel,['religious'],religious,-3.1985188,1.0685445,neutral,NEU
"Meine nächsten Nachbarn waren Aegypter und diese sind von allen Moslems, welche ich kennen lernte, noch die umgänglichsten und gemüthlichsten, ja ich möchte fast sagen , die am wenigsten fanatischen , wenn man überhaupt von einem Muselmann sagen kann, dass er nur w e n i g fanatisch sei. Die arabischen Aegypter stehen seit Jahrhunderten so tief unter dem Drucke der sie beherrschenden Türken, von denen sie aufs tyrannischste behandelt und bei jeder Gelegenheit gedemüthigt werden, dass sie viel von der Natur der unterdrückten Volksstämme angenommen haben","['nah', 'nachbar', 'aegypter', 'moslem', 'kennen', 'lernen', 'umgänglich', 'gemüthlich', 'sagen', 'wenig', 'fanatisch', 'muselmann', 'sagen', 'g', 'fanatisch', 'arabisch', 'aegypter', 'stehen', 'jahrhundert', 'tief', 'druck', 'beherrschend', 'türke', 'tyrannisch', 'behandeln', 'gelegenheit', 'demüthigen', 'natur', 'unterdrückt', 'volksstamm', 'annehmen']",travel,['religious'],religious,-2.2077515,0.06303231,negative,NEG
"da bei den Moslems ein alleinstehender Mensch stets für den allerärgsten Vagabunden gehalten wird, wenn nicht für schlimmeres, oder was ihnen wenigstens schlimmer erscheint für einen verkappten Christen oder Juden. ","['moslem', 'alleinstehend', 'mensch', 'allerarg', 'vagabund', 'halten', 'schlimmer', 'schlimm', 'erscheinen', 'verkappen', 'christ', 'jude']",travel,['religious'],religious,-1.2048299,0.51741093,neutral,NEU
"Einer dieser Gelehrten war ein besonders grosses Licht der Weisheit, denn er kannte sogar die Grammatik, welche bei den Arabern immer das allerletzte ist, was sie lernen","['gelehrte', 'groß', 'licht', 'weisheit', 'kennen', 'grammatik', 'araber', 'allerletzte', 'lernen']",travel,['ethnic_cultural'],ethnic_cultural,-4.127528,0.7779761,neutral,NEU
